Date,Company,Ticker Symbol,Currency,Open,High,Low,Close,Adj Close,Volume
7/1/2009,Sony Interactive Entertainment,SONY,JPY,5.19,5.64,4.72,5.59,3.89,122579500.00
8/1/2009,Sony Interactive Entertainment,SONY,JPY,5.65,5.80,5.21,5.35,3.72,91201000.00
9/1/2009,Sony Interactive Entertainment,SONY,JPY,5.32,6.03,5.20,5.84,4.06,98382000.00
10/1/2009,Sony Interactive Entertainment,SONY,JPY,5.74,6.16,5.33,5.88,4.19,134397000.00
11/1/2009,Sony Interactive Entertainment,SONY,JPY,5.80,5.90,5.25,5.34,3.81,87388000.00
12/1/2009,Sony Interactive Entertainment,SONY,JPY,5.42,5.92,5.35,5.80,4.14,70454500.00
1/1/2010,Sony Interactive Entertainment,SONY,JPY,5.90,7.00,5.90,6.65,4.74,100627000.00
2/1/2010,Sony Interactive Entertainment,SONY,JPY,6.80,7.12,6.59,6.82,4.87,91892500.00
3/1/2010,Sony Interactive Entertainment,SONY,JPY,6.88,8.09,6.88,7.66,5.47,105229500.00
4/1/2010,Sony Interactive Entertainment,SONY,JPY,7.70,7.73,6.83,6.84,4.90,92513500.00
5/1/2010,Sony Interactive Entertainment,SONY,JPY,6.86,6.94,5.97,6.16,4.41,154926000.00
6/1/2010,Sony Interactive Entertainment,SONY,JPY,6.09,6.19,5.32,5.34,3.82,159927000.00
7/1/2010,Sony Interactive Entertainment,SONY,JPY,5.24,6.42,5.17,6.24,4.47,148453000.00
8/1/2010,Sony Interactive Entertainment,SONY,JPY,6.39,6.44,5.57,5.60,4.01,93993500.00
9/1/2010,Sony Interactive Entertainment,SONY,JPY,5.67,6.33,5.67,6.18,4.43,83169500.00
10/1/2010,Sony Interactive Entertainment,SONY,JPY,6.16,6.85,6.05,6.77,5.00,95029000.00
11/1/2010,Sony Interactive Entertainment,SONY,JPY,6.59,7.13,6.47,7.10,5.24,96123500.00
12/1/2010,Sony Interactive Entertainment,SONY,JPY,7.24,7.38,7.01,7.14,5.27,68721000.00
1/1/2011,Sony Interactive Entertainment,SONY,JPY,7.23,7.30,6.81,6.87,5.07,77527500.00
